block_date,avg_whale_tx_size_usd,total_whale_volume_usd,unique_whale_senders,whale_exchange_deposits_usd,whale_exchange_withdrawals_usd,whale_net_exchange_flow_usd,whale_tx_count,price_usd,daily_return,next_day_price_direction
2023-02-18,708957.4823927856,1841871539.2564569,930,206918940.49274617,175797676.32207957,-31121264.170666605,1917,1697.0848665737892,0.002697697244661512,0
2023-02-17,529840.4838663188,2020281764.9822736,1331,144497845.75421056,189421901.0686067,44924055.31439614,2834,1646.143501886728,-0.030016981289748723,1
2023-02-16,656769.2049727808,3672653394.20779,1775,535941709.7190101,532524830.4802337,-3416879.238776386,4285,1674.858207473528,0.017443622353633614,0
2023-02-15,763439.5551643026,3278209449.8755155,1373,336755886.7107943,331402006.949833,-5353879.760961354,3211,1556.963484345393,-0.07039086807591644,0
2023-02-14,694471.8151713214,2818166625.9652224,1311,371084071.86607516,400913977.82133645,29829905.95526129,3074,1506.9162010135053,-0.03214415998518394,1
2023-02-13,787762.8763039557,3272366988.1666317,1189,526810017.16194177,639019273.8864796,112209256.72453785,3136,1515.3346311806397,0.005586528409126101,1
2023-02-12,598522.3426108253,1137790973.303179,656,91175968.71640424,135382975.3657003,44207006.64929606,1419,1541.9688769412712,0.017576477969014626,0
2023-02-11,858547.2717425855,1699923598.0503192,726,258302471.4961007,270702691.1142811,12400219.618180424,1483,1515.5340268615535,-0.017143569156956806,1
2023-02-10,1131246.3328898232,4588335126.201123,1322,789195319.7788761,765800997.2114143,-23394322.56746173,3032,1546.383768658398,0.02035569063449505,1
2023-02-09,763623.4673920798,3459214307.2861214,1319,367112467.5701107,410777032.88710016,43664565.31698948,3437,1651.4083786023796,0.0679162650776517,1
2023-02-08,986744.9570981502,3428938725.916072,1191,299281234.13999254,259796643.88266814,-39484590.2573244,2616,1672.8226777758136,0.012967294735150459,0
2023-02-07,588371.7123056906,2619430863.1849346,1357,383558379.9917223,355027948.5416589,-28530431.450063407,3469,1617.144163289206,-0.03328417005957729,1
2023-02-06,787106.1980774602,2296775885.990029,1074,243841889.6704736,241816695.10259652,-2025194.567877084,2283,1631.3725233636533,0.008798448770026335,1
2023-02-05,728854.2435452191,1601292773.0688462,769,171002987.89125162,199133472.1707744,28130484.279522777,1600,1667.2716925637008,0.02200550069706253,0
2023-02-04,851064.9363530476,1891917353.5128248,799,158473333.71644038,145402248.5741432,-13071085.142297179,1598,1665.4278712238624,-0.0011058913481599708,0
2023-02-03,909886.6203244049,3052669611.1883783,1131,489642887.4690307,552984868.5306407,63341981.06161004,2479,1648.6796840768716,-0.010056386972005726,0
2023-02-02,914398.6476615514,3938314975.4783015,1374,406112880.7411996,311423613.28856385,-94689267.45263577,3245,1642.857168158598,-0.0035316235012222696,0
2023-02-01,913323.9076628693,2587446630.408909,1052,155990725.56550008,114893250.15617801,-41097475.40932207,2120,1586.5395765836909,-0.03428027260460553,0
2023-01-31,995019.0273796879,2577099280.9133916,999,431043498.53167224,360709351.80048484,-70334146.7311874,2015,1568.64771349631,-0.011277287595880536,1
2023-01-30,1158464.5577636932,3821774576.0624237,1162,373447811.32087034,469137106.5886003,95689295.26772994,2581,1646.5159900930198,0.04964038510798052,0
2023-01-29,745773.9624461534,2012843924.642168,880,194531325.95900178,170890983.2006931,-23640342.75830868,2067,1573.0634394330648,-0.04461089421658471,1
2023-01-28,648023.9169442591,2271971852.8065724,1065,125006002.78898378,111790717.69280773,-13215285.096176043,2701,1598.4701935450053,0.01615113127357226,1
2023-01-27,825942.4210622568,2477827263.1867704,995,596769607.040576,620842863.8273047,24073256.78672874,2217,1602.8469492523193,0.002738090284691186,1
2023-01-26,699784.8841291306,2268002809.4625125,1027,232920449.95537397,194139568.1428343,-38780881.81253967,2404,1614.6771850629295,0.007380764467954215,0
2023-01-25,1060540.3894261734,4109594009.026422,1170,249345630.7993104,269068641.82047236,19723011.021161973,2885,1557.0597608721732,-0.035683556269800576,1
2023-01-24,1015086.1237690215,3342678605.571388,1100,461422367.4866862,460954142.41103256,-468225.0756536722,2494,1632.9617267135266,0.04874698309513659,0
